team,experience,salary,points3,points2,points1,points,off_rebounds,def_rebounds,assists,steals,blocks,turnovers,fouls,efficiency
CHO,1,0.375579,0,0,1,1,0,3,3,0,0,0,2,0.4
CHO,4,1.050961,17,29,33,142,5,34,52,9,1,26,18,3.292682926829268
CHO,1,0.231521,1,19,9,50,8,14,16,9,0,5,12,4.769230769230769
CHO,1,0.874636,0,12,11,35,14,15,2,3,6,7,11,4.076923076923077
CHO,3,5.318313,0,253,133,639,135,270,99,62,58,65,189,15.241935483870968
CHO,1,2.73,116,204,118,874,57,279,162,46,34,76,139,11.413333333333334
CHO,4,6.511628,41,185,110,603,30,234,75,27,23,40,98,10.774193548387096
CHO,2,0.276827,1,7,1,18,4,4,4,0,0,3,6,4.75
CHO,5,12,240,403,304,1830,45,263,434,85,22,168,119,20.88607594936709
CHO,9,6.333333,102,162,150,780,14,164,147,44,9,70,90,9.716216216216216
CHO,11,12.25,124,173,131,849,89,411,106,58,53,60,134,14.210526315789474
CHO,4,13,1,294,152,743,156,409,114,81,77,56,187,14.308641975308642
CHO,0,0.138938,0,1,0,2,2,1,1,0,0,1,2,1
CHO,8,20.869566,135,258,243,1164,46,435,456,86,29,194,109,18.16883116883117
CHO,9,6,21,79,91,312,11,62,129,27,3,46,43,6.16
CHO,0,0.543471,9,10,10,57,5,17,6,6,1,3,18,2.3333333333333335
NYK,13,24.55938,151,451,304,1659,62,376,213,60,34,153,198,18.95945945945946
NYK,0,0.24386,10,18,29,95,6,21,28,6,1,16,28,5.277777777777778
NYK,8,11.242,108,213,85,835,53,206,179,81,24,69,141,11.857142857142858
NYK,7,21.32325,13,447,221,1154,66,180,283,44,17,147,84,16.375
NYK,9,17,0,99,34,232,162,241,103,30,37,58,127,13.043478260869565
NYK,3,1.015696,97,136,66,629,27,198,102,65,31,66,109,8.134146341463415
NYK,1,4.31772,112,331,198,1196,111,364,97,47,129,118,244,18.636363636363637
NYK,4,3.9,2,213,64,496,157,282,117,36,104,76,174,11.379746835443038
NYK,5,6.191,38,59,43,275,32,110,35,21,5,25,85,6.478260869565218
NYK,0,0.543471,0,16,8,40,23,28,10,4,4,12,23,3.4285714285714284
NYK,0,0.543471,1,38,19,98,22,42,8,15,8,12,30,3.96875
NYK,0,2.898,54,104,55,425,47,79,69,29,11,51,79,5.661764705882353
NYK,0,0.543471,23,59,28,215,12,86,107,34,8,56,74,4.923076923076923
NYK,9,1.410598,23,19,17,124,12,47,52,13,2,16,38,3.1666666666666665
NYK,0,1.375,4,242,91,587,170,332,96,41,36,100,150,12.625
ORL,2,4.35132,77,316,156,1019,116,289,150,65,40,89,172,13.2125
ORL,1,0.051449,1,3,0,9,2,5,2,0,0,1,2,6
ORL,2,0.440078,0,2,0,4,2,4,2,0,1,2,3,1.125
ORL,5,17,0,179,125,483,157,410,74,25,91,95,202,10.814814814814815
ORL,9,5,32,64,57,281,16,73,114,43,2,47,84,5.17741935483871
ORL,2,1.20968,3,5,2,21,4,8,12,2,1,6,8,0.8636363636363636
ORL,8,7.25,95,100,131,616,15,102,209,31,1,90,101,6.82051282051282
ORL,2,0.980431,20,11,0,82,5,20,20,12,1,9,31,1.6444444444444444
ORL,2,2.6136,40,390,146,1046,89,298,529,88,40,178,177,16.646341463414632
ORL,4,17,128,280,223,1167,44,165,202,66,4,141,180,13.691176470588236
ORL,8,15,53,167,145,638,39,175,81,37,13,75,103,7.927536231884058
